match_id,first_to_serve,home_team_seed,away_team_seed,custom_id,winner_code,default_period_count,start_datetime,match_slug,final_result_only
11699043,,,14,GPGcskjDd,2,3,1696143600,crimmel-nikcevic,FALSE
11699044,,,,BfgdsEQMd,2,3,1696143600,lanisek-skrabalova,FALSE
11699045,,,,mfocsTmEd,2,3,1696143600,wirglerova-kusy-alzugaray,FALSE
11699046,,,,TtddsDPLd,1,3,1696143600,stella-ferrazzoli-ignjatic,FALSE
11699047,,,15,JLhcsPBId,2,3,1696158000,trklja-barnes,FALSE
11699048,,,,nvJbsvtXd,2,3,1696143600,bilic-alkio,FALSE
11699049,,,WC,tcecsPJpd,1,3,1696143600,knez-munteanu,FALSE
11699050,,,,nhfdswtXd,2,3,1696152600,bumbak-wiche,FALSE
11699051,,,,ZKqcsqcGd,1,3,1696158000,polakovicova-vasilyeva,FALSE
11699052,,WC,,PuncsxtXd,2,3,1696152600,kajtazi-zamberlani,FALSE
11699053,,,12,nAVbsqmvd,2,3,1696143600,nylander-altelius-matos-sequeira-fernandes,FALSE
11699054,,,,GxNbsrUud,1,3,1696158000,otzipka-muller,FALSE
11699055,,,,wDDbsxqPd,2,3,1696152600,peric-bebic,FALSE
11699056,,WC,,GHFdsNoWd,1,3,1696143600,serban-serticova,FALSE
11699057,,WC,,xoWdsytXd,2,3,1696143600,pozzetti-langlais,FALSE
11699058,,,,UORdsztXd,1,3,1696152600,tognoni-ngijol-carre,FALSE
11699059,,,WC,FbJbskiId,1,3,1696143600,meneguzzo-nylander-altelius,FALSE
11699062,,,11,ywCcsaBPc,1,3,1696161000,pawelski-blanch,FALSE
11699063,,2,WC,BBlbsAtXd,1,3,1696155000,aunion-echargui,FALSE
11699064,,,,kgfbsmhCb,,3,1696149000,damas-blanch,FALSE
11699065,,4,,VBvsyVLc,1,3,1696159500,manzanera-pertusa-damm,FALSE
11699067,,5,,iUZsIyBb,1,3,1696155000,singh-cukierman,FALSE
11699068,,3,,MLUsdfUc,1,3,1696165500,maksymchuk-harris,FALSE
11699069,,,12,jHUsLtib,2,3,1696149000,kaliyanda-poonacha-barroso-campos,FALSE
11699070,,1,,kLysPCKc,1,3,1696168800,merida-aguilar-caruso,FALSE
11699071,,,10,npIsAKTb,2,3,1696169700,echeverria-santillan,FALSE
11699072,,,7,vQlbsNOOc,1,3,1696165500,pokorny-orlov,FALSE
11699073,,,8,DyYsiCld,1,3,1696157100,gulin-gautier,FALSE
11699074,,,9,RlhsRled,2,3,1696149000,butvilas-cox,FALSE
11699083,,,,rvecsWTqd,2,3,1696251600,landaluce-maestrelli,FALSE
11699084,,,5,XLFbsdgpc,2,3,1696247100,cazaux-brancaccio,FALSE
11699097,2,4,Q,oZCsuRuc,1,3,1696165200,janicijevic-estable,FALSE
11699098,1,,12,OxGcsMAMd,1,3,1696167000,vitter-ajavon,FALSE
11699099,2,,13,kZFbsOwod,2,3,1696167600,jucha-seeman,FALSE
11699100,1,WC,,gLXsTItd,1,3,1696159800,colne-giovannini,FALSE
11699101,2,,16,myQbsfUVd,2,3,1696163100,gerbaud-bertimon,FALSE
11699102,2,1,WC,LuObsOnhc,1,3,1696179300,fouilloux-reynolds,FALSE
11699103,1,,11,EKPbshfJd,2,3,1696180200,ghazouani-durand-aerne,FALSE
11699104,2,WC,10,YDjbsCcec,2,3,1696152600,rey-calzi,FALSE
11699105,2,,15,PbvbsVItd,2,3,1696147200,malige-pierre,FALSE
11699106,1,,9,fGObsBGFd,1,3,1696155000,rocci-reveniau,FALSE
11699107,2,2,,Jbebsychd,1,3,1696174200,deflandre-bouquet,FALSE
11699108,1,5,,LyTbsfnpd,1,3,1696169400,villard-freire-da-silva,FALSE
11699109,2,3,WC,oyZsnZnd,1,3,1696161900,berquier-boureau,FALSE
11699110,1,WC,14,oZndsBtXd,1,3,1696176900,grandvincent-lacides,FALSE
11699111,2,6,,OMhdsWYDd,1,3,1696147200,wallner-vaksmann,FALSE
11699112,1,8,,XnZcsffJd,2,3,1696147200,jarzaguet-corbinais,FALSE
11699113,2,4,,AcmcslKnd,1,3,1696154100,merre-garcian,FALSE
11699125,,,10,jFddsbhfd,1,3,1696147200,peiro-serrano-goldberg-alviani,FALSE
11699126,,,13,xEXsWKcc,1,3,1696158000,brosset-thompkins,FALSE
11699127,,1,WC,eNBcseKnd,1,3,1696147200,helguera-casado-nedelchev,FALSE
11699128,,,11,aLPbsCqbc,2,3,1696163400,zusman-molino,FALSE
11699129,,7,,XYLbsALUb,1,3,1696172400,rocens-cekirge,FALSE
11699130,,2,,nfgdsrVqd,1,3,1696172400,sevilla-cesar-porras,FALSE
11699131,,,9,cXtbsPQOb,2,3,1696152600,iamachkine-postay,FALSE
11699132,,WC,12,nvMdsaEQd,1,3,1696172400,bieldiugin-roche-alcaya,FALSE
11699133,,8,,RlKbsrWcd,1,3,1696163400,hodzic-minin,FALSE
11699134,,WC,16,lvidsDtXd,2,3,1696152600,sanclemente-claver-regas-luis,FALSE
11699135,,WC,14,YPfdsCtXd,2,3,1696172400,diego-esteban-torres-baumgartner,FALSE
11699136,,3,,ZrNbsJNbd,1,3,1696147200,siddiqui-sheyngezikht,FALSE
11699137,,WC,12,gYadsEtXd,2,3,1696149000,nunez-gomez-tatu,FALSE
11699138,,,11,duuskkTb,2,3,1696158000,murgett-parres-azcoitia,FALSE
11699139,,,15,yBhcsulod,2,3,1696158000,bartlett-garri-murcia,FALSE
11699140,,,14,oMYcsQUid,2,3,1696158000,villanueva-morillo-lopez-martinez,FALSE
11699141,,,10,MwQcszOId,2,3,1696149000,sawant-lipiec,FALSE
11699142,,7,,vuDsXKXc,1,3,1696165200,lazarova-bhatia,FALSE
11699143,,,16,cfUcsMtGd,1,3,1696152600,solar-donoso-jurna,FALSE
11699144,,,13,GCRsUJgd,2,3,1696152600,grechkina-fedoryshyn,FALSE
11699145,,4,,FRrbsIOid,1,3,1696152600,naharro-curras-abasolo,FALSE
11699146,,,9,FNbbsjHqd,2,3,1696149000,patil-cervino-ruiz,FALSE
11699147,,6,,HWqdsAAKd,1,3,1696152600,puvill-lee,FALSE
11699148,,,15,uAHcsKArd,2,3,1696158000,martin-manzano-busoms-puig,FALSE
11699149,,6,,AzEbsccmd,2,3,1696158000,hartig-dussin,FALSE
11699150,,5,WC,aMFbsbePd,2,3,1696163400,gonzalez-galino-izquierdo-luque,FALSE
11699151,,8,,IwccsbFPd,1,3,1696165200,alberto-shin,FALSE
11699153,1,,,qYadsphfd,1,3,1696153500,hansen-ntondele-zinga,FALSE
11699154,2,,,YircsyBAc,2,3,1696174200,battesti-willson,FALSE
11699155,1,,,FzfbshHOb,2,3,1696177500,courcoux-benamar,FALSE
11699156,1,,,ncmcsNpZc,2,3,1696171500,bougouffa-lollia,FALSE
11699157,2,WC,WC,VkrdsTEDd,2,3,1696166700,borez-boulard,FALSE
11699158,2,WC,,uZpcswRtc,2,3,1696147200,ramirez-martial,FALSE
11699159,1,,WC,bEUbsdaHd,1,3,1696147200,dvorackova-elde,FALSE
11699160,1,,,wGZcsXEDd,1,3,1696153500,cammilleri-mohamed,FALSE
11699161,2,,WC,BCrdsJtWd,2,3,1696147200,ciocan-myatovic,FALSE
11699162,1,,,xaJcsXkrd,1,3,1696167600,brun-chekanskaya,FALSE
11699163,2,,,gpFbsLwgd,2,3,1696165200,leclercq-girard,FALSE
11699164,2,,,MQRbshdhd,2,3,1696173900,podrez-bergen,FALSE
11699165,1,,,Mhddsqjfd,2,3,1696159500,munk-mortensen-arifullina,FALSE
11699166,2,WC,,iYadsZTqd,1,3,1696160700,soulie-levivier,FALSE
11699167,2,,,zXhcsdhMc,1,3,1696159800,psonka-weckerle,FALSE
11699168,2,,,pYadsQgfd,2,3,1696154100,thomas-iglesias-deppner,FALSE
11699173,2,,2,jYhcsGlIc,2,3,1696165200,ambrogi-guillen-meza,FALSE
11699185,1,8,,ZvQsCDKb,2,3,1696171500,nuudi-jokic,FALSE
11699186,1,5,,OiicsQBpc,1,3,1696162200,falkner-mair,FALSE
11699187,1,,13,lItsjckc,1,3,1696176300,hance-gamiz,FALSE
11699188,1,,15,AuDbsfNYc,2,3,1696150800,veleva-hoste-ferrer,FALSE
